// sample				nEvt	L(/pb)	filt  collection		  comment
data2011B/MuEG_175976_176286 250318   119.84 0.232   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_176287_176309 224805   108.68 0.222   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_176310_176697 210357   102.42 0.230   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_176698_176801 205056   101.20 0.226   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_176802_176886 257354   123.45 0.218   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_176887_177074 264787   122.34 0.225   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_177075_177141 233273   111.55 0.224   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_177142_177319 206667   102.90 0.233   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_177320_177718 233441   112.91 0.231   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_177719_177730 261457   128.72 0.221   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_177731_177875 214792   104.86 0.229   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_177876_178100 299991   147.95 0.220   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_178101_178162 218612   108.81 0.237   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_178163_178421 279111   155.25 0.231   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_178422_178708 169525   118.49 0.242   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_178709_178840 181032   125.41 0.245   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_178841_178970 187944   132.48 0.243   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_178971_179452 155817   108.86 0.240   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_179453_179563 169162   116.13 0.244   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_179564_180241 163394   107.94 0.250   Run2011B-PromptReco-v1/AOD   data
data2011B/MuEG_180242_180252  59941    41.74 0.251   Run2011B-PromptReco-v1/AOD   data

Fall11/Z_2e__1   493000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__2   500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__3   500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__4   497205   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__5   500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__6   500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__7   500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__8   498696   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__9   495000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
